layer,channel,activation
inception3a,0,15.138
inception3a,23,17.82
inception3a,46,5.639
inception3a,69,3.232
inception3a,92,3.643
inception3a,115,4.412
inception3a,139,3.497
inception3a,162,3.862
inception3a,185,10.945
inception3a,208,5.76
inception3a,231,12.967
inception3a,255,7.794
inception3b,0,6.524
inception3b,43,7.481
inception3b,87,9.879
inception3b,130,4.599
inception3b,174,2.843
inception3b,217,3.704
inception3b,261,5.565
inception3b,304,2.505
inception3b,348,3.3
inception3b,391,2.837
inception3b,435,7.5
inception3b,479,5.602
inception4a,0,6.267
inception4a,46,9.542
inception4a,92,10.787
inception4a,139,17.957
inception4a,185,10.786
inception4a,232,3.034
inception4a,278,7.06
inception4a,325,4.305
inception4a,371,5.387
inception4a,418,4.867
inception4a,464,11.922
inception4a,511,12.908
inception4b,0,7.857
inception4b,46,11.53
inception4b,92,8.969
inception4b,139,11.087
inception4b,185,14.543
inception4b,232,10.83
inception4b,278,6.8
inception4b,325,6.068
inception4b,371,9.024
inception4b,418,5.611
inception4b,464,12.835
inception4b,511,9.639
inception4c,0,8.271
inception4c,46,11.938
inception4c,92,7.156
inception4c,139,6.203
inception4c,185,6.898
inception4c,232,9.243
inception4c,278,10.269
inception4c,325,6.646
inception4c,371,3.968
inception4c,418,8.306
inception4c,464,16.616
inception4c,511,11.063
inception4d,0,9.602
inception4d,47,8.126
inception4d,95,10.883
inception4d,143,4.637
inception4d,191,10.596
inception4d,239,8.56
inception4d,287,8.307
inception4d,335,4.839
inception4d,383,5.41
inception4d,431,7.905
inception4d,479,9.38
inception4d,527,10.109
inception4e,0,8.612
inception4e,75,5.16
inception4e,151,9.561
inception4e,226,4.478
inception4e,302,5.948
inception4e,377,9.213
inception4e,453,4.921
inception4e,528,6.139
inception4e,604,2.986
inception4e,679,4.585
inception4e,755,9.504
inception4e,831,15.389
inception5a,0,11.983
inception5a,75,14.274
inception5a,151,8.939
inception5a,226,11.315
inception5a,302,11.28
inception5a,377,11.39
inception5a,453,10.405
inception5a,528,9.381
inception5a,604,8.674
inception5a,679,12.583
inception5a,755,13.818
inception5a,831,10.543
inception5b,0,26.869
inception5b,93,18.858
inception5b,186,18.758
inception5b,279,25.299
inception5b,372,23.446
inception5b,465,32.563
inception5b,558,27.812
inception5b,651,24.685
inception5b,744,18.073
inception5b,837,54.932
inception5b,930,28.916
inception5b,1023,32.913
